5.0072 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
39.0396 	EXP 	grating: tex = 'sin'
39.3404 	EXP 	grating: autoDraw = False
39.5760 	DATA 	Keypress: right
39.5780 	EXP 	window1: recordFrameIntervals = False
39.5910 	EXP 	fixation: autoDraw = False
39.5910 	EXP 	grating: autoDraw = False
39.5912 	EXP 	window1: recordFrameIntervals = False
40.5708 	EXP 	fixation: autoDraw = True
41.5797 	EXP 	fixation: autoDraw = False
41.5797 	EXP 	grating: autoDraw = True
41.5797 	EXP 	grating: tex = 'sin'
41.8805 	EXP 	grating: autoDraw = False
41.8984 	DATA 	Keypress: left
41.9001 	EXP 	window1: recordFrameIntervals = False
41.9139 	EXP 	fixation: autoDraw = False
41.9139 	EXP 	grating: autoDraw = False
41.9141 	EXP 	window1: recordFrameIntervals = False
42.8929 	EXP 	fixation: autoDraw = True
43.9026 	EXP 	fixation: autoDraw = False
43.9026 	EXP 	grating: autoDraw = True
43.9026 	EXP 	grating: tex = 'sin'
44.2035 	EXP 	grating: autoDraw = False
44.2887 	DATA 	Keypress: right
44.2907 	EXP 	window1: recordFrameIntervals = False
44.3037 	EXP 	fixation: autoDraw = False
44.3037 	EXP 	grating: autoDraw = False
44.3039 	EXP 	window1: recordFrameIntervals = False
45.2832 	EXP 	fixation: autoDraw = True
46.2923 	EXP 	fixation: autoDraw = False
46.2923 	EXP 	grating: autoDraw = True
46.2923 	EXP 	grating: tex = 'sin'
46.5931 	EXP 	grating: autoDraw = False
46.6451 	DATA 	Keypress: left
46.6473 	EXP 	window1: recordFrameIntervals = False
46.6599 	EXP 	fixation: autoDraw = False
46.6599 	EXP 	grating: autoDraw = False
46.6600 	EXP 	window1: recordFrameIntervals = False
47.6396 	EXP 	fixation: autoDraw = True
48.6487 	EXP 	fixation: autoDraw = False
48.6487 	EXP 	grating: autoDraw = True
48.6487 	EXP 	grating: tex = 'sin'
48.9495 	EXP 	grating: autoDraw = False
49.1022 	DATA 	Keypress: left
49.1042 	EXP 	window1: recordFrameIntervals = False
49.1165 	EXP 	fixation: autoDraw = False
49.1165 	EXP 	grating: autoDraw = False
49.1167 	EXP 	window1: recordFrameIntervals = False
50.0949 	EXP 	fixation: autoDraw = True
51.1053 	EXP 	fixation: autoDraw = False
51.1053 	EXP 	grating: autoDraw = True
51.1053 	EXP 	grating: tex = 'sin'
51.4059 	EXP 	grating: autoDraw = False
51.5766 	DATA 	Keypress: right
51.5919 	EXP 	window1: recordFrameIntervals = False
51.6066 	EXP 	fixation: autoDraw = False
51.6066 	EXP 	grating: autoDraw = False
51.6068 	EXP 	window1: recordFrameIntervals = False
52.5845 	EXP 	fixation: autoDraw = True
53.5953 	EXP 	fixation: autoDraw = False
53.5953 	EXP 	grating: autoDraw = True
53.5953 	EXP 	grating: tex = 'sin'
53.8960 	EXP 	grating: autoDraw = False
54.0817 	DATA 	Keypress: right
54.0839 	EXP 	window1: recordFrameIntervals = False
54.0965 	EXP 	fixation: autoDraw = False
54.0965 	EXP 	grating: autoDraw = False
54.0967 	EXP 	window1: recordFrameIntervals = False
55.0774 	EXP 	fixation: autoDraw = True
56.0852 	EXP 	fixation: autoDraw = False
56.0852 	EXP 	grating: autoDraw = True
56.0852 	EXP 	grating: tex = 'sin'
56.3860 	EXP 	grating: autoDraw = False
56.4716 	DATA 	Keypress: left
56.4736 	EXP 	window1: recordFrameIntervals = False
56.4855 	EXP 	fixation: autoDraw = False
56.4855 	EXP 	grating: autoDraw = False
56.4857 	EXP 	window1: recordFrameIntervals = False
57.4656 	EXP 	fixation: autoDraw = True
58.4749 	EXP 	fixation: autoDraw = False
58.4749 	EXP 	grating: autoDraw = True
58.4749 	EXP 	grating: tex = 'sin'
58.7756 	EXP 	grating: autoDraw = False
58.8444 	DATA 	Keypress: left
58.8466 	EXP 	window1: recordFrameIntervals = False
58.8595 	EXP 	fixation: autoDraw = False
58.8595 	EXP 	grating: autoDraw = False
58.8597 	EXP 	window1: recordFrameIntervals = False
59.8391 	EXP 	fixation: autoDraw = True
60.8479 	EXP 	fixation: autoDraw = False
60.8479 	EXP 	grating: autoDraw = True
60.8479 	EXP 	grating: tex = 'sin'
61.1487 	EXP 	grating: autoDraw = False
61.1829 	DATA 	Keypress: left
61.1845 	EXP 	window1: recordFrameIntervals = False
61.1988 	EXP 	fixation: autoDraw = False
61.1988 	EXP 	grating: autoDraw = False
61.1990 	EXP 	window1: recordFrameIntervals = False
62.1765 	EXP 	fixation: autoDraw = True
63.1874 	EXP 	fixation: autoDraw = False
63.1874 	EXP 	grating: autoDraw = True
63.1874 	EXP 	grating: tex = 'sin'
